id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
14,BLUEmed: Retrieval-Augmented Multi-Agent Debate for Clinical Error Detection,Saukun Thika You and Nguyen Tuan Anh Tran and Wesley K. Marizane and Hanshu Rao and Qiu-Xia Zhang and Xiaolei Huang,2026,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
15,From Demonstrations to Rewards: Test-Time Prompt Optimization for VLM Reward Models,Christian Gumbsch and Leonardo Barcellona and Lennard Schunemann and Platon Karageorgis and Andrii Zadaianchuk and Zehao Wang and Sergey Zakharov and Fabien Despinoy and Rahaf Aljundi and Efstratios Gavves,2026,,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-T,EXCLUDE,EC-A
16,Neural Attention Memory,Hyoungwook Nam and Seung Byum Seo,2023,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
17,Mistral in Radiology: AI‐Powered Classification of Normal and Abnormal Reports,Pilar L'o,2025,International Journal of Imaging Systems and Technology,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
18,MuSc-V2: Zero-Shot Multimodal Industrial Anomaly Classification and Segmentation with Mutual Scoring of Unlabeled Samples,Xurui Li and Feng Xue and Yu Zhou,2025,IEEE transactions on pattern analysis and machine intelligence,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
19,SpaLLM-Guard: Pairing SMS Spam Detection Using Open-source and Commercial LLMs,Muhammad Salman and Muhammad Ikram and Nardine Basta and Mohamed Ali K^a,2025,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
20,Reinforcement learning to improve large language model-based automated code compliance systems,Jack Wei Lun Shi and Minghao Dang and Wawan Solihin and Leong Hien Poh and Justin K. W. Yeoh,2026,,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-T,EXCLUDE,EC-A
21,CLaDMoP: Learning Transferrable Models from Successful Clinical Trials via LLMs,Yiqing Zhang and Xiaozhong Liu and Fabricio Murai,2025,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
22,Towards Low-Resource Alignment to Diverse Perspectives with Sparse Feedback,Chu Luo and Samuel Dahan and Xiaodan Zhu,2025,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
23,How well do Large Language Models Recognize Instructional Moves? Establishing Baselines for Foundation Models in Educational Discourse,Kirk P. Vanacore and Ren'e,2025,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
24,PROSPER: Extracting Protocol Specifications Using Large Language Models,Prakhar Sharma and Vinod Yegneswaran,2023,Proceedings of the 22nd ACM Workshop on Hot Topics in Networks,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
25,PromptMix: A Class Boundary Augmentation Method for Large Language Model Distillation,Gaurav Sahu and Olga Vechtomova and Dzmitry Bahdanau and Issam Hadj Laradji,2023,Conference on Empirical Methods in Natural Language Processing,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
26,FireCLIP: Enhancing Forest Fire Detection with Multimodal Prompt Tuning and Vision-Language Understanding,Shanjunxia Wu and Yuming Qiao and Sen He and Jiahao Zhou and Zhi Wang and Xin Li and Fei Wang,2025,Fire,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
27,Potentials of ChatGPT for Annotating Vaccine Related Tweets,Md. Rafiul Biswas and Farida Mohsen and Zubair Shah and Wajdi Zaghouani,2023,"2023 Tenth International Conference on Social Networks Analysis, Management and Security (SNAMS)","(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
28,Scalable Zero-Shot Logo Recognition,Mikhail Shulgin and Ilya Makarov,2023,IEEE Access,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
29,StressSpeak: A Speech-Driven Framework for Real-Time Personalized Stress Detection and Adaptive Psychological Support,Laraib Umer and Javaid Iqbal and Yasar Ayaz and Hassan Imam and Adil Ahmad and Umer Asgher,2025,Diagnostics,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
30,Prompt engineering in LLMs for automated unit test generation: A large-scale study,Wendk^u,2026,Empirical Software Engineering,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
31,"Urban cooling island effect of main river on a landscape scale in Chongqing, China",Lidan Cheng and Dongjie Guan and Lilei Zhou and Zulun Zhao and Jian Zhou,2019,Sustainable Cities and Society,"(""requirement-to-source-code"" OR ""requirement to code"") AND (""GPT-4"" OR ""LLM"") AND (""VSM"" OR ""LSI"" OR ""BM25"") AND (""class-level"" OR ""granularity"")",EXCLUDE,IC-E,EXCLUDE,EC-A
32,"The spatial granularity effect, changing landscape patterns, and suitable landscape metrics in the Three Gorges Reservoir Area, 1995–2015",Qian Zhang and Chen Chenglong and Jinzhu Wang and Dongyang Yang and Yuee Zhang and Zifang Wang and Ming Gao,2020,Ecological Indicators,"(""requirement-to-source-code"" OR ""requirement to code"") AND (""GPT-4"" OR ""LLM"") AND (""VSM"" OR ""LSI"" OR ""BM25"") AND (""class-level"" OR ""granularity"")",EXCLUDE,IC-E,EXCLUDE,EC-A
33,Combining information retrieval modules and structural information for source code bug localization and feature location,Randy K. Smith and Nicholas A. Kraft and Pengwei Shao,2011,,"(""requirement-to-source-code"" OR ""requirement to code"") AND (""GPT-4"" OR ""LLM"") AND (""VSM"" OR ""LSI"" OR ""BM25"") AND (""class-level"" OR ""granularity"")",EXCLUDE,IC-T,EXCLUDE,EC-A
34,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,Shanthi Karpurapu and Sravanthy Myneni and Unnati Nettur and Likhit Sagar Gajja and Dave Burke and Tom Stiehm and Jeffery Payne,2024,IEEE Access,"(""GPT-4"" OR ""LLM"") AND (""few-shot prompting"" OR ""in-context learning"" OR ""examples"") AND (""traceability recovery"") AND (""hallucination reduction"")",EXCLUDE,IC-E,EXCLUDE,EC-A
35,In-Context Principle Learning from Mistakes,Tianjun Zhang and Aman Madaan and Luyu Gao and Steven Zheng and Swaroop Mishra and Yiming Yang and Niket Tandon and Uri Alon,2024,International Conference on Machine Learning,"(""GPT-4"" OR ""LLM"") AND (""few-shot prompting"" OR ""in-context learning"" OR ""examples"") AND (""traceability recovery"") AND (""hallucination reduction"")",EXCLUDE,IC-E,EXCLUDE,EC-A
36,Empowering open medium-sized generative language models for effective structured search in biomedical systematic reviews,Leandra Budau and Richard P. Finney and Faezeh Ensan,2026,International journal of medical informatics,"(""GPT-4"" OR ""LLM"") AND (""MAP"" OR ""MAP@10"" OR ""Recall"") AND (""software traceability"") AND (""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
37,LLM-based stemming for improved Gujarati information retrieval,Jasleen Kaur and Smit Patel,2025,Aslib Journal of Information Management,"(""GPT-4"" OR ""LLM"") AND (""MAP"" OR ""MAP@10"" OR ""Recall"") AND (""software traceability"") AND (""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
38,Enhancing Automated Software Traceability by Transfer Learning from Open-World Data,Jinfeng Lin and Amrit Poudel and Wenhao Yu and Qingkai Zeng and Meng Jiang and Jane Cleland-Huang,2022,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
39,Traceability Transformed: Generating More Accurate Links with Pre-Trained BERT Models,Jinfeng Lin and Yalin Liu and Qingkai Zeng and Meng Jiang and Jane Cleland-Huang,2021,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
40,AVIATE: Exploiting Translation Variants of Artifacts to Improve IR-based Traceability Recovery in Bilingual Software Projects,Kexin Sun and Yi Ren and Hongyu Kuang and Hui Gao and Xiaoxing Ma and Guoping Rong and Dong Shao and He Zhang,2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
41,A Systematic Literature Review of Issue-Based Requirement Traceability,Yijing Lyu and Heetae Cho and Pilsu Jung and Seonah Lee,2023,IEEE Access,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
42,Topic modeling in software engineering research,Camila Costa Silva and Matthias Galster and Fabian Gilson,2021,Empirical Software Engineering,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
43,Natural Language-Programming Language Software Traceability Link Recovery Needs More than Textual Similarity,Zhiyuan Zou and Bangchao Wang and Peng Liang and Tingting Bi and Huan Jin,2025,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
44,Pitfalls and guidelines for using time-based Git data,Samuel W. Flint and Jigyasa Chauhan and Robert Dyer,2022,Empirical Software Engineering,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
45,Applications of natural language processing in software traceability: A systematic mapping study,Zaki Pauzi and Andrea Capiluppi,2023,J. Syst. Softw.,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
46,Escaping the Time Pit: Pitfalls and Guidelines for Using Time-Based Git Data,Samuel W. Flint and Jigyasa Chauhan and Robert Dyer,2021,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
47,Elevating Semantic Exploration: A Novel Approach Utilizing Distributed Repositories,Valerio Bellandi,2025,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
48,The Use of AI in Software Engineering: A Synthetic Knowledge Synthesis of the Recent Research Literature,Peter Kokol,2024,Inf.,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
49,Designing NLP-based solutions for requirements variability management: experiences from a design science study at Visma,Parisa Elahidoost and Michael Unterkalmsteiner and Davide Fucci and Peter Liljenberg and Jannik Fischbach,2024,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
50,Artificial Intelligence Applied in Legal Information: A Systematic Mapping Study,Juan DAlotto DAlotto and Claudia Pons and Leandro Antonelli,2025,J. Comput. Sci. Technol.,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
51,Integrating AI Planning with Natural Language Processing: A Combination of Explicit and Tacit Knowledge,Kebing Jin and Hankz Hankui Zhuo,2022,ACM Transactions on Intelligent Systems and Technology,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
52,Natural Language Processing for Requirements Traceability,Jin L.C. Guo and Jan-Philipp Stegh,2024,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
53,Dealing with Data for RE: Mitigating Challenges while using NLP and Generative AI,Smita Ghaisas and Anmol Singhal,2024,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
54,Natural Language Processing (NLP) Application For Classifying and Managing Tacit Knowledge in Revolutionizing AI-Driven Library,Wan Ainol Mursyida Ahmad Tarmizi and Asma Nadia Zanol Rashid and Areena Aqilah MUHAMMAD SAPRI and Mani Yangkatisal,2024,Information Management and Business Review,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
55,A Systematic Literature Review on the Use of Machine Learning in Software Engineering,Nyaga Fred and I. O. Temkin,2024,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
56,A Traceability Framework to Enable Circularity in the Built Environment,Saman Davari and Meisam Jaberi and Adam Yousfi and Erik A. Poirier,2023,Sustainability,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
57,Explainability as a Compliance Requirement: What Regulated Industries Need from AI Tools for Design Artifact Generation,Syed Tauhid Ullah Shah and Mohamad Hussein and Ann Barcomb and Mohammad Moshirpour,2025,2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),Snowballing,UNSURE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
58,Computational linguistics and natural language processing techniques for semantic field extraction in Arabic online news,Maulana Ihsan Ahmad and Moh. Kanif Anwari,2024,Studies in English Language and Education,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
